listing_id,name,trade,region,website,email,status,reviews,rating
2300,ACF Plumbing,plumbers,Christchurch,https://www.acfplumbing.co.nz/,admin@acfplumbing.co.nz,sent,434,5.0
2486,Optiplumb Ltd | Hamilton Plumbers,plumbers,Hamilton,http://www.optiplumb.co.nz/,info@optiplumb.co.nz,sent,420,5.0
1941,Mega Electrical Services Limited,electricians,Auckland,http://www.megaelectrical.co.nz/,megaelectrical7@outlook.com,sent,409,5.0
2137,Garcia Plumbing and Gas,plumbers,Wellington,https://www.garcia.co.nz/,office@garcia.co.nz,sent,314,5.0
836,Hiko Electrical,electricians,Tauranga,http://www.hikoelectrical.co.nz/,hello@hikoelectrical.co.nz,sent,269,5.0
4081,Illuminex Electrical,electricians,Lower Hutt,http://www.illuminex.co.nz/,admin@illuminex.co.nz,sent,219,5.0
2143,Pluto Electrics Ltd,electricians,Wellington,http://www.plutoelectrics.co.nz/,jerah@plutoelectrics.co.nz,sent,197,5.0
3563,Mr Electri City - Electrician Whangarei,electricians,Whangārei,http://www.mrelectricity.co.nz/,info@mrelectricity.co.nz,sent,192,5.0
2339,Pooman Ltd,drainlayers,Christchurch,https://www.pooman.co.nz/,info@pooman.co.nz,sent,172,4.8
1934,Fix & Flow Plumbing,plumbers,Auckland,http://www.fixflow.co.nz/,info@fixflow.co.nz,sent,167,5.0
3703,"Hertz Electrical - Electrician Nelson, Richmond, Stoke",electricians,Nelson,http://hertzelectrical.co.nz/,service@hertzelectrical.co.nz,sent,165,5.0
4084,Wiretec Electrical,electricians,Lower Hutt,http://www.wiretec.co.nz/,info@wiretec.co.nz,sent,157,5.0
4267,#Electrical,electricians,Porirua,http://schema.org/Place,,no_email,135,5.0
2986,"Semtex Plumbing, Civil & Pipe Relining",drainlayers,Palmerston North,http://www.semtex.co.nz/,info@semtex.co.nz,sent,133,4.8
2301,Simply Plumbing,plumbers,Christchurch,https://www.simplyplumbing.co.nz/,admin@simplyplumbing.co.nz,sent,132,5.0
2692,Preferred Plumber Ltd,drainlayers,Tauranga,http://www.preferredplumber.co.nz/,erwin@preferredplumber.co.nz,sent,132,5.0
4108,PlyLab furniture & kitchens,carpenters,Lower Hutt,http://www.plylab.co.nz/,hello@plylab.co.nz,sent,131,5.0
1976,Auckland Plumber Drainlayer,drainlayers,Auckland,http://schema.org/Place,,no_email,130,4.8
