listing_id,name,trade,region,website,email,status,reviews,rating
3614,Hubands Energy,heat-pump-installers,Whangārei,http://schema.org/Place,,no_email,1282,4.9
2871,Davies Heat & Cool,heat-pump-installers,Dunedin,http://schema.org/Place,,no_email,364,4.8
2361,Enviro Master Ltd,heat-pump-installers,Christchurch,https://www.enviromaster.co.nz/,,no_email,327,5.0
2678,Simons Flooring Design,carpet-layers,Tauranga,https://www.flooringdesign.co.nz/stores/tauranga,,no_email,301,4.9
3740,Paul's Glass & Glazing,glaziers,Nelson,http://www.paulsglass.co.nz/,,no_email,256,5.0
3121,BelAire Designer Fencing,fencers,Napier,http://belairefencing.co.nz/,info@belairefencing.co.nz,sent,218,4.8
2706,Snowden Electrical & Air conditioning,heat-pump-installers,Tauranga,http://schema.org/Place,,no_email,214,4.9
1963,Easy Carpet,carpet-layers,Auckland,https://www.easycarpet.nz/,INFO@EASYCARPET.NZ,sent,207,5.0
3607,Northland Specialty Glass,glaziers,Whangārei,http://specialtyglass.co.nz/,info@specialtyglass.co.nz,sent,202,4.8
3332,Proglaze Ltd,glaziers,New Plymouth,https://www.proglaze.co.nz/,Proglaze@xtra.co.nz,sent,200,5.0
2512,Flooring Design Hamilton,carpet-layers,Hamilton,https://www.flooringdesign.co.nz/stores/hamilton/,,no_email,198,4.8
2705,Ultra Refrigeration & Air Conditioning Limited,heat-pump-installers,Tauranga,http://www.ultrarefrigeration.co.nz/,info@ultrarefrigeration.co.nz,sent,193,5.0
2710,Eco Shine Solar Panel Cleaning - Tauranga,solar-installers,Tauranga,https://ecoshine.co.nz/,info@ecoshine.co.nz,sent,190,5.0
1999,Heat Pump Services Ltd,heat-pump-installers,Auckland,https://www.heatpumpservices.co.nz/,info@heatpumpservices.co.nz,sent,182,4.9
3341,Premier Heating Ltd,heat-pump-installers,New Plymouth,http://www.premierheating.co.nz/,info@premierheating.co.nz,sent,174,5.0
2001,Heat Pumps & Air Conditioning Services.,heat-pump-installers,Auckland,http://schema.org/Place,,no_email,172,5.0
2002,Comfort Solutions,heat-pump-installers,Auckland,http://www.comfortsolutions.co.nz/,info@comfortsolutions.co.nz,sent,166,4.9
3131,AirControl Hawkes Bay Ltd - Heat Pump Specialists,heat-pump-installers,Napier,https://aircontrolhb.co.nz/,admin@aircontrolhb.co.nz,sent,165,5.0
2197,Wellington Refrigeration Ltd,heat-pump-installers,Wellington,http://www.wellingtonrefrigeration.co.nz/,info@wellingtonrefrigeration.co.nz,sent,160,4.9
3119,Hastings Glazing Services Limited,glaziers,Napier,http://schema.org/Place,,no_email,154,4.9
3342,Summit Refrigeration + Air Conditioning and Heat Pumps,heat-pump-installers,New Plymouth,http://www.summitrefrigeration.co.nz/,info@summitrac.co.nz,sent,150,5.0
2999,Judd Refrigeration - Heat Pump and Air Conditioning Services,heat-pump-installers,Palmerston North,http://schema.org/Place,,no_email,150,4.9
2511,The Floor Store,carpet-layers,Hamilton,https://www.thefloorstorehamilton.co.nz/,fs2024@1920.mp,sent,149,4.8
2987,Glass Inc,glaziers,Palmerston North,http://www.glassinc.co.nz/,info@glassinc.co.nz,sent,139,4.9
1961,A5 Interior Linings - GIB Stopping & GIB Fixing Auckland,plasterers,Auckland,https://www.a5interior.co.nz/,info@a5interior.co.nz,sent,137,5.0
3587,Flooring Design Whangarei,carpet-layers,Whangārei,https://www.flooringdesign.co.nz/stores/whangarei,,no_email,134,5.0
3329,The Glass Man,glaziers,New Plymouth,http://www.theglassman.co.nz/,office@theglassman.co.nz,sent,132,4.8
3336,Healthy Homes Taranaki,waterproofers,New Plymouth,http://www.healthyhomestaranaki.nz/,info@healthyhomestaranaki.nz,sent,132,4.9
4211,Hutt City Auto Glass,glaziers,Upper Hutt,http://huttcityautoglass.co.nz/,websites@managemy.co.nz,sent,130,5.0
2978,Flooring Design Palmerston North,carpet-layers,Palmerston North,https://www.flooringdesign.co.nz/stores/palmerston-north/,,no_email,127,4.8
