#,Business Name,Trade,Region,Google Reviews,Rating,Google Search (find website),Gmail Compose (pre-filled)
1,ACF Plumbing,plumbers,Christchurch,434,5.0,https://www.google.com/search?q=ACF+Plumbing+Christchurch+NZ+contact+email,https://mail.google.com/mail/?view=cm&fs=1&su=Your+plumber+business+is+listed+on+TradieTools+%E2%80%94+claim+it+free&body=Hi+there%2C%0A%0AI+noticed+ACF+Plumbing+is+already+listed+on+TradieTools.nz+%E2%80%94+a+new+NZ+tradie+directory.+Your+listing+is+live+but+unclaimed%2C+so+homeowners+in+Christchurch+can%27t+see+your+contact+details.%0A%0AClaiming+your+free+listing+takes+5+minutes%3A+tradietools.nz%2Fsignup%2F%0A%0ANo+card+required.+Happy+to+answer+any+questions.%0A%0ACheers%2C%0ABen+Walsh%0ATradieTools+NZ%0Atradietools.nz
2,Optiplumb Ltd | Hamilton Plumbers,plumbers,Hamilton,420,5.0,https://www.google.com/search?q=Optiplumb+Ltd+%7C+Hamilton+Plumbers+Hamilton+NZ+contact+email,https://mail.google.com/mail/?view=cm&fs=1&su=Your+plumber+business+is+listed+on+TradieTools+%E2%80%94+claim+it+free&body=Hi+there%2C%0A%0AI+noticed+Optiplumb+Ltd+%7C+Hamilton+Plumbers+is+already+listed+on+TradieTools.nz+%E2%80%94+a+new+NZ+tradie+directory.+Your+listing+is+live+but+unclaimed%2C+so+homeowners+in+Hamilton+can%27t+see+your+contact+details.%0A%0AClaiming+your+free+listing+takes+5+minutes%3A+tradietools.nz%2Fsignup%2F%0A%0ANo+card+required.+Happy+to+answer+any+questions.%0A%0ACheers%2C%0ABen+Walsh%0ATradieTools+NZ%0Atradietools.nz
3,Mega Electrical Services Limited,electricians,Auckland,409,5.0,https://www.google.com/search?q=Mega+Electrical+Services+Limited+Auckland+NZ+contact+email,https://mail.google.com/mail/?view=cm&fs=1&su=Your+electrician+business+is+listed+on+TradieTools+%E2%80%94+claim+it+free&body=Hi+there%2C%0A%0AI+noticed+Mega+Electrical+Services+Limited+is+already+listed+on+TradieTools.nz+%E2%80%94+a+new+NZ+tradie+directory.+Your+listing+is+live+but+unclaimed%2C+so+homeowners+in+Auckland+can%27t+see+your+contact+details.%0A%0AClaiming+your+free+listing+takes+5+minutes%3A+tradietools.nz%2Fsignup%2F%0A%0ANo+card+required.+Happy+to+answer+any+questions.%0A%0ACheers%2C%0ABen+Walsh%0ATradieTools+NZ%0Atradietools.nz
4,Garcia Plumbing and Gas,plumbers,Wellington,314,5.0,https://www.google.com/search?q=Garcia+Plumbing+and+Gas+Wellington+NZ+contact+email,https://mail.google.com/mail/?view=cm&fs=1&su=Your+plumber+business+is+listed+on+TradieTools+%E2%80%94+claim+it+free&body=Hi+there%2C%0A%0AI+noticed+Garcia+Plumbing+and+Gas+is+already+listed+on+TradieTools.nz+%E2%80%94+a+new+NZ+tradie+directory.+Your+listing+is+live+but+unclaimed%2C+so+homeowners+in+Wellington+can%27t+see+your+contact+details.%0A%0AClaiming+your+free+listing+takes+5+minutes%3A+tradietools.nz%2Fsignup%2F%0A%0ANo+card+required.+Happy+to+answer+any+questions.%0A%0ACheers%2C%0ABen+Walsh%0ATradieTools+NZ%0Atradietools.nz
5,Illuminex Electrical,electricians,Lower Hutt,219,5.0,https://www.google.com/search?q=Illuminex+Electrical+Lower+Hutt+NZ+contact+email,https://mail.google.com/mail/?view=cm&fs=1&su=Your+electrician+business+is+listed+on+TradieTools+%E2%80%94+claim+it+free&body=Hi+there%2C%0A%0AI+noticed+Illuminex+Electrical+is+already+listed+on+TradieTools.nz+%E2%80%94+a+new+NZ+tradie+directory.+Your+listing+is+live+but+unclaimed%2C+so+homeowners+in+Lower+Hutt+can%27t+see+your+contact+details.%0A%0AClaiming+your+free+listing+takes+5+minutes%3A+tradietools.nz%2Fsignup%2F%0A%0ANo+card+required.+Happy+to+answer+any+questions.%0A%0ACheers%2C%0ABen+Walsh%0ATradieTools+NZ%0Atradietools.nz
6,Pluto Electrics Ltd,electricians,Wellington,197,5.0,https://www.google.com/search?q=Pluto+Electrics+Ltd+Wellington+NZ+contact+email,https://mail.google.com/mail/?view=cm&fs=1&su=Your+electrician+business+is+listed+on+TradieTools+%E2%80%94+claim+it+free&body=Hi+there%2C%0A%0AI+noticed+Pluto+Electrics+Ltd+is+already+listed+on+TradieTools.nz+%E2%80%94+a+new+NZ+tradie+directory.+Your+listing+is+live+but+unclaimed%2C+so+homeowners+in+Wellington+can%27t+see+your+contact+details.%0A%0AClaiming+your+free+listing+takes+5+minutes%3A+tradietools.nz%2Fsignup%2F%0A%0ANo+card+required.+Happy+to+answer+any+questions.%0A%0ACheers%2C%0ABen+Walsh%0ATradieTools+NZ%0Atradietools.nz
7,Mr Electri City - Electrician Whangarei,electricians,Whangārei,192,5.0,https://www.google.com/search?q=Mr+Electri+City+-+Electrician+Whangarei+Whang%C4%81rei+NZ+contact+email,https://mail.google.com/mail/?view=cm&fs=1&su=Your+electrician+business+is+listed+on+TradieTools+%E2%80%94+claim+it+free&body=Hi+there%2C%0A%0AI+noticed+Mr+Electri+City+-+Electrician+Whangarei+is+already+listed+on+TradieTools.nz+%E2%80%94+a+new+NZ+tradie+directory.+Your+listing+is+live+but+unclaimed%2C+so+homeowners+in+Whang%C4%81rei+can%27t+see+your+contact+details.%0A%0AClaiming+your+free+listing+takes+5+minutes%3A+tradietools.nz%2Fsignup%2F%0A%0ANo+card+required.+Happy+to+answer+any+questions.%0A%0ACheers%2C%0ABen+Walsh%0ATradieTools+NZ%0Atradietools.nz
8,Fix & Flow Plumbing,plumbers,Auckland,167,5.0,https://www.google.com/search?q=Fix+%26+Flow+Plumbing+Auckland+NZ+contact+email,https://mail.google.com/mail/?view=cm&fs=1&su=Your+plumber+business+is+listed+on+TradieTools+%E2%80%94+claim+it+free&body=Hi+there%2C%0A%0AI+noticed+Fix+%26+Flow+Plumbing+is+already+listed+on+TradieTools.nz+%E2%80%94+a+new+NZ+tradie+directory.+Your+listing+is+live+but+unclaimed%2C+so+homeowners+in+Auckland+can%27t+see+your+contact+details.%0A%0AClaiming+your+free+listing+takes+5+minutes%3A+tradietools.nz%2Fsignup%2F%0A%0ANo+card+required.+Happy+to+answer+any+questions.%0A%0ACheers%2C%0ABen+Walsh%0ATradieTools+NZ%0Atradietools.nz
9,"Hertz Electrical - Electrician Nelson, Richmond, Stoke",electricians,Nelson,165,5.0,https://www.google.com/search?q=Hertz+Electrical+-+Electrician+Nelson%2C+Richmond%2C+Stoke+Nelson+NZ+contact+email,https://mail.google.com/mail/?view=cm&fs=1&su=Your+electrician+business+is+listed+on+TradieTools+%E2%80%94+claim+it+free&body=Hi+there%2C%0A%0AI+noticed+Hertz+Electrical+-+Electrician+Nelson%2C+Richmond%2C+Stoke+is+already+listed+on+TradieTools.nz+%E2%80%94+a+new+NZ+tradie+directory.+Your+listing+is+live+but+unclaimed%2C+so+homeowners+in+Nelson+can%27t+see+your+contact+details.%0A%0AClaiming+your+free+listing+takes+5+minutes%3A+tradietools.nz%2Fsignup%2F%0A%0ANo+card+required.+Happy+to+answer+any+questions.%0A%0ACheers%2C%0ABen+Walsh%0ATradieTools+NZ%0Atradietools.nz
10,Wiretec Electrical,electricians,Lower Hutt,157,5.0,https://www.google.com/search?q=Wiretec+Electrical+Lower+Hutt+NZ+contact+email,https://mail.google.com/mail/?view=cm&fs=1&su=Your+electrician+business+is+listed+on+TradieTools+%E2%80%94+claim+it+free&body=Hi+there%2C%0A%0AI+noticed+Wiretec+Electrical+is+already+listed+on+TradieTools.nz+%E2%80%94+a+new+NZ+tradie+directory.+Your+listing+is+live+but+unclaimed%2C+so+homeowners+in+Lower+Hutt+can%27t+see+your+contact+details.%0A%0AClaiming+your+free+listing+takes+5+minutes%3A+tradietools.nz%2Fsignup%2F%0A%0ANo+card+required.+Happy+to+answer+any+questions.%0A%0ACheers%2C%0ABen+Walsh%0ATradieTools+NZ%0Atradietools.nz
